ID,PHENO
sample1,63
sample2,75
sample3,59
sample4,58
sample5,57
sample6,63
sample7,69
sample8,58
sample9,74
sample10,50
sample11,76
sample12,45
sample13,69
sample14,67
sample15,40
sample16,74
sample17,51
sample18,71
sample19,84
sample20,66
sample21,58
sample22,72
sample23,57
sample24,72
sample25,71
sample26,56
sample27,82
sample28,72
sample29,43
sample30,66
sample31,63
sample32,64
sample33,76
sample34,48
sample35,82
sample36,63
sample37,78
sample38,50
sample39,47
sample40,56
sample41,55
sample42,57
sample43,59
sample44,63
sample45,70
sample46,70
sample47,78
sample48,61
sample49,54
sample50,64
sample51,53
sample52,64
sample53,73
sample54,73
sample55,63
sample56,65
sample57,61
sample58,61
sample59,77
sample60,67
sample61,60
sample62,54
sample63,59
sample64,67
sample65,70
sample66,72
sample67,61
sample68,68
sample69,69
sample70,60
sample71,67
sample72,51
sample73,58
sample74,46
sample75,68
sample76,51
sample77,75
sample78,71
sample79,71
sample80,83
sample81,73
sample82,57
sample83,65
sample84,57
sample85,67
sample86,57
sample87,59
sample88,75
sample89,73
sample90,60
sample91,67
sample92,73
sample93,68
sample94,68
sample95,58
sample96,53
sample97,52
sample98,61
sample99,73
sample100,66
sample101,60
sample102,59
sample103,82
sample104,69
sample105,77
sample106,82
sample107,68
sample108,67
sample109,39
sample110,67
sample111,57
sample112,59
sample113,60
sample114,71
sample115,62
sample116,66
sample117,73
sample118,75
sample119,77
sample120,60
sample121,62
sample122,52
sample123,49
sample124,71
sample125,56
sample126,72
sample127,75
sample128,75
sample129,79
sample130,76
sample131,67
sample132,61
sample133,60
sample134,59
sample135,73
sample136,55
sample137,67
sample138,51
sample139,56
sample140,35
sample141,45
sample142,58
sample143,61
sample144,63
sample145,51
sample146,48
sample147,59
sample148,77
sample149,71
sample150,69
sample151,64
sample152,63
sample153,66
sample154,76
sample155,59
sample156,71
sample157,56
sample158,68
sample159,59
sample160,58
sample161,67
sample162,73
sample163,67
sample164,79
sample165,66
sample166,80
sample167,80
sample168,56
sample169,64
sample170,62
sample171,58
sample172,58
sample173,71
sample174,76
sample175,42
sample176,72
sample177,67
sample178,60
sample179,66
sample180,64
sample181,70
sample182,55
sample183,72
sample184,74
sample185,61
sample186,65
sample187,61
sample188,70
sample189,74
sample190,45
sample191,70
sample192,63
sample193,65
sample194,43
sample195,63
sample196,87
sample197,72
sample198,41
sample199,61
sample200,68
sample201,77
sample202,55
sample203,65
sample204,50
sample205,64
sample206,72
sample207,70
sample208,70
sample209,71
sample210,73
sample211,56
sample212,67
sample213,56
sample214,71
sample215,45
sample216,71
sample217,60
sample218,59
sample219,68
sample220,56
sample221,82
sample222,63
sample223,61
sample224,68
sample225,66
sample226,55
sample227,65
sample228,78
sample229,57
sample230,66
sample231,83
sample232,65
sample233,64
sample234,50
sample235,66
sample236,73
sample237,74
sample238,73
sample239,61
sample240,72
sample241,68
sample242,39
sample243,64
sample244,72
sample245,75
sample246,50
sample247,64
sample248,78
sample249,63
sample250,52
sample251,80
sample252,57
sample253,62
sample254,76
sample255,49
sample256,73
sample257,61
sample258,58
sample259,84
sample260,70
sample261,55
sample262,55
sample263,63
sample264,69
sample265,73
sample266,36
sample267,59
sample268,34
sample269,73
sample270,71
sample271,63
sample272,71
sample273,67
sample274,85
sample275,72
sample276,68
sample277,67
sample278,83
sample279,72
sample280,70
sample281,58
sample282,77
sample283,74
sample284,45
sample285,67
sample286,68
sample287,60
sample288,65
sample289,86
sample290,79
sample291,68
sample292,68
sample293,50
sample294,61
sample295,62
sample296,59
sample297,67
sample298,42
sample299,72
sample300,73
sample301,83
sample302,69
sample303,60
sample304,71
sample305,51
sample306,62
sample307,64
sample308,56
sample309,70
sample310,72
sample311,75
sample312,72
sample313,50
sample314,48
sample315,67
sample316,79
sample317,53
sample318,55
sample319,61
sample320,59
sample321,64
sample322,65
sample323,67
sample324,61
sample325,79
sample326,75
sample327,57
sample328,50
sample329,66
sample330,78
sample331,76
sample332,61
sample333,57
sample334,76
sample335,69
sample336,65
sample337,72
sample338,72
sample339,54
sample340,53
sample341,68
sample342,57
sample343,73
sample344,75
sample345,53
sample346,61
sample347,67
sample348,64
sample349,74
sample350,72
sample351,59
sample352,66
sample353,68
sample354,62
sample355,64
sample356,52
sample357,71
sample358,73
sample359,67
sample360,65
sample361,85
sample362,70
sample363,51
sample364,53
sample365,66
sample366,68
sample367,48
sample368,55
sample369,63
sample370,68
sample371,66
sample372,44
sample373,68
sample374,51
sample375,35
sample376,63
sample377,50
sample378,64
sample379,65
sample380,78
sample381,57
sample382,63
sample383,62
sample384,69
sample385,74
sample386,63
sample387,62
sample388,54
sample389,69
sample390,70
sample391,82
sample392,45
sample393,53
sample394,64
sample395,64
sample396,58
sample397,60
sample398,79
sample399,57
sample400,77
sample401,70
sample402,66
sample403,72
sample404,81
sample405,65
sample406,57
sample407,71
sample408,54
sample409,63
sample410,71
sample411,66
sample412,72
sample413,56
sample414,35
sample415,67
sample416,74
sample417,44
sample418,53
sample419,43
sample420,72
sample421,71
sample422,78
sample423,59
sample424,47
