ID,PHENO
sample1,1
sample2,2
sample3,0
sample4,0
sample5,1
sample6,2
sample7,0
sample8,0
sample9,0
sample10,1
sample11,0
sample12,0
sample13,2
sample14,0
sample15,0
sample16,2
sample17,0
sample18,0
sample19,2
sample20,0
sample21,1
sample22,0
sample23,0
sample24,1
sample25,1
sample26,0
sample27,0
sample28,2
sample29,2
sample30,0
sample31,1
sample32,0
sample33,2
sample34,0
sample35,1
sample36,0
sample37,2
sample38,2
sample39,2
sample40,0
sample41,0
sample42,2
sample43,2
sample44,1
sample45,0
sample46,1
sample47,0
sample48,0
sample49,0
sample50,2
sample51,1
sample52,1
sample53,2
sample54,1
sample55,2
sample56,2
sample57,1
sample58,2
sample59,2
sample60,0
sample61,0
sample62,1
sample63,2
sample64,2
sample65,2
sample66,1
sample67,1
sample68,2
sample69,0
sample70,0
sample71,0
sample72,0
sample73,1
sample74,2
sample75,2
sample76,0
sample77,0
sample78,2
sample79,0
sample80,0
sample81,1
sample82,0
sample83,0
sample84,0
sample85,0
sample86,2
sample87,1
sample88,2
sample89,0
sample90,1
sample91,1
sample92,2
sample93,1
sample94,0
sample95,0
sample96,0
sample97,2
sample98,0
sample99,1
sample100,2
sample101,0
sample102,2
sample103,1
sample104,0
sample105,1
sample106,0
sample107,1
sample108,2
sample109,2
sample110,2
sample111,2
sample112,1
sample113,1
sample114,2
sample115,0
sample116,2
sample117,2
sample118,1
sample119,0
sample120,1
sample121,2
sample122,2
sample123,2
sample124,1
sample125,0
sample126,1
sample127,0
sample128,0
sample129,0
sample130,0
sample131,2
sample132,0
sample133,2
sample134,0
sample135,1
sample136,0
sample137,0
sample138,0
sample139,0
sample140,2
sample141,0
sample142,1
sample143,2
sample144,0
sample145,1
sample146,2
sample147,1
sample148,2
sample149,2
sample150,2
sample151,2
sample152,0
sample153,2
sample154,2
sample155,1
sample156,0
sample157,2
sample158,2
sample159,0
sample160,0
sample161,2
sample162,1
sample163,0
sample164,2
sample165,0
sample166,2
sample167,2
sample168,2
sample169,1
sample170,1
sample171,2
sample172,1
sample173,2
sample174,0
sample175,1
sample176,2
sample177,2
sample178,2
sample179,1
sample180,0
sample181,1
sample182,0
sample183,2
sample184,1
sample185,1
sample186,1
sample187,2
sample188,1
sample189,0
sample190,0
sample191,2
sample192,1
sample193,2
sample194,2
sample195,0
sample196,2
sample197,2
sample198,2
sample199,1
sample200,0
sample201,1
sample202,1
sample203,0
sample204,1
sample205,0
sample206,2
sample207,1
sample208,0
sample209,0
sample210,1
sample211,0
sample212,0
sample213,1
sample214,0
sample215,2
sample216,2
sample217,0
sample218,0
sample219,2
sample220,0
sample221,1
sample222,1
sample223,2
sample224,1
sample225,1
