ID	UMAP_embedding1	UMAP_embedding2
sample1	2.5037186	5.3257804
sample2	9.256521	6.6799088
sample3	6.304995	-0.87706244
sample4	0.67613363	4.76763
sample5	1.3353469	3.6449664
sample6	3.17613	4.778271
sample7	6.5069585	5.1563087
sample8	0.3418048	4.9828353
sample9	9.75576	3.8435402
sample10	1.7263339	-0.71647674
sample11	9.425647	5.144945
sample12	1.2598398	-0.18185744
sample13	9.225044	1.2807137
sample14	7.8320565	0.6769964
sample15	0.1517841	0.52752584
sample16	9.694719	3.5568871
sample17	-0.22738609	2.0247834
sample18	10.327417	0.19377619
sample19	10.081076	5.6557484
sample20	2.907216	7.0182047
sample21	6.1233673	-1.0139208
sample22	9.774869	1.5439744
sample23	5.1387286	-0.5934724
sample24	9.500316	2.0815473
sample25	8.662997	7.872049
sample26	0.065963104	4.457056
sample27	9.970364	6.1738
sample28	9.5289345	2.0552092
sample29	0.13331729	0.75070274
sample30	8.174158	-0.48742688
sample31	5.600295	3.5527716
sample32	7.130853	0.19144501
sample33	9.433071	5.574785
sample34	1.557829	-0.6831617
sample35	10.052225	6.3490486
sample36	1.8164248	6.407518
sample37	11.072113	1.0054927
sample38	-0.17210573	1.9036106
sample39	1.579759	-0.20777789
sample40	0.15033647	4.2816825
sample41	5.035541	-0.75063384
sample42	0.42732725	4.3155766
sample43	5.638259	0.49126452
sample44	1.629769	6.4648833
sample45	6.545125	5.1793346
sample46	8.394269	7.7096863
sample47	9.635778	6.9998193
sample48	2.3111093	5.065466
sample49	3.2538006	0.002980726
sample50	3.2650075	4.7759023
sample51	3.4419675	-0.14745452
sample52	6.495041	1.2883573
sample53	9.0760565	7.3731503
sample54	9.006195	6.9739885
sample55	3.356627	4.5000854
sample56	3.4642217	5.1955957
sample57	6.4418864	-0.28979623
sample58	1.1753672	5.5559573
sample59	10.568668	3.1367803
sample60	6.091105	5.0675826
sample61	1.5678132	4.9480968
sample62	-0.040084668	3.8963327
sample63	0.8600859	4.9832187
sample64	6.8412285	1.8941127
sample65	8.711104	8.024906
sample66	9.860119	1.4048215
sample67	6.194957	0.19442332
sample68	5.2075973	6.0033026
sample69	9.555651	0.30704266
sample70	6.5247893	-0.6656631
sample71	8.506897	-0.44913638
sample72	2.2104702	-0.37360036
sample73	0.83857363	4.414069
sample74	-0.05187388	1.171855
sample75	3.242139	7.6993337
sample76	-0.17604727	2.0703318
sample77	9.324964	5.116169
sample78	8.820443	3.9536695
sample79	9.605412	1.4527341
sample80	10.051229	6.199453
sample81	9.102967	7.468821
sample82	4.010574	0.4040498
sample83	7.655387	-0.1826576
sample84	0.089274146	4.7197547
sample85	7.199898	1.2039284
sample86	5.1471987	-0.5687848
sample87	6.3560486	-0.9598058
sample88	9.475568	7.5031047
sample89	9.38685	3.576943
sample90	1.0805749	5.2132697
sample91	5.1343336	6.0180707
sample92	9.2906065	7.844301
sample93	5.082965	6.108368
sample94	5.6275306	5.718704
sample95	6.1421986	-1.05364
sample96	3.051045	0.1155557
sample97	5.6864333	-1.4677482
