Algorithm	Runtime_Seconds	AUC	Accuracy	Balanced_Accuracy	Log_Loss	Sensitivity	Specificity	PPV	NPV
LinearDiscriminantAnalysis	4.517778158187866	0.8208562544845731	85.33333333333334	82.08562544845731	5.286402497070515	0.8849557522123894	0.7567567567567568	0.9174311926605505	0.6829268292682927
QuadraticDiscriminantAnalysis	0.040532588958740234	0.5405405405405406	77.33333333333333	54.054054054054056	8.169894768199889	1.0	0.08108108108108109	0.7687074829931972	1.0
AdaBoostClassifier	0.12212777137756348	0.775651757952643	84.0	77.5651757952643	5.766984542258744	0.9026548672566371	0.6486486486486487	0.8869565217391304	0.6857142857142857
BaggingClassifier	0.03109121322631836	0.8120066969624492	84.0	81.20066969624492	5.7669845422587445	0.8672566371681416	0.7567567567567568	0.9158878504672897	0.6511627906976745
GradientBoostingClassifier	0.16640710830688477	0.829705812006697	86.66666666666667	82.97058120066968	4.805820451882288	0.9026548672566371	0.7567567567567568	0.918918918918919	0.717948717948718
RandomForestClassifier	0.12766456604003906	0.7845013154747669	85.33333333333334	78.45013154747669	5.286402497070515	0.9203539823008849	0.6486486486486487	0.8888888888888888	0.7272727272727273
LogisticRegression	0.018330812454223633	0.829705812006697	86.66666666666667	82.97058120066968	4.805820451882287	0.9026548672566371	0.7567567567567568	0.918918918918919	0.717948717948718
SGDClassifier	0.0033025741577148438	0.8218129634058837	80.0	82.18129634058837	7.2087306778234295	0.7787610619469026	0.8648648648648649	0.946236559139785	0.5614035087719298
KNeighborsClassifier	0.0017218589782714844	0.6591724467830662	74.66666666666667	65.91724467830662	9.131058858576345	0.831858407079646	0.4864864864864865	0.831858407079646	0.4864864864864865
MLPClassifier	0.4520530700683594	0.7847404927050944	84.0	78.47404927050945	5.766984542258745	0.8938053097345132	0.6756756756756757	0.8938053097345132	0.6756756756756757
SVC	0.06745028495788574	0.7665630232001912	84.0	76.65630232001914	5.7669845422587445	0.911504424778761	0.6216216216216216	0.8803418803418803	0.696969696969697
XGBClassifier	33.773972034454346	0.8117675197321215	85.33333333333334	81.17675197321215	5.286402497070516	0.8938053097345132	0.7297297297297297	0.9099099099099099	0.6923076923076923
