SNP	p
snp53	3.89e-154
snp69	3.89e-154
snp347	3.61e-148
snp10	3.6100000000000004e-148
snp28	1.7200000000000002e-70
snp317	1.7200000000000002e-70
snp105	9.98e-70
snp56	9.980000000000001e-70
snp39	2.54e-39
snp399	2.54e-39
snp7	1.47e-37
snp86	1.47e-37
snp54	1.13e-36
snp452	1.13e-36
snp126	1.22e-34
snp42	1.22e-34
snp32	1.1100000000000001e-29
snp456	1.1100000000000001e-29
snp50	1.52e-28
snp9	1.52e-28
snp47	2.06e-28
snp26	2.06e-28
snp302	5.25e-26
snp64	5.25e-26
snp59	2.52e-23
snp336	2.52e-23
snp380	3.8e-23
snp300	1.59e-22
snp29	1.59e-22
snp447	2.5000000000000002e-22
snp33	2.5000000000000002e-22
snp55	1.79e-21
snp256	1.79e-21
snp52	5.8200000000000005e-21
snp370	5.820000000000001e-21
snp346	5.12e-20
snp19	5.12e-20
snp242	6.26e-20
snp5	6.26e-20
snp288	4.97e-19
snp51	4.97e-19
snp16	6.08e-18
snp203	6.08e-18
snp429	8.72e-18
snp68	8.72e-18
snp493	5.06e-17
snp35	6.84e-17
snp324	6.84e-17
snp448	1.66e-16
snp14	1.66e-16
snp65	3.99e-16
snp34	1.38e-15
snp152	1.38e-15
snp66	2.72e-15
snp246	2.72e-15
snp38	4.55e-14
snp240	4.55e-14
snp3	3.41e-13
snp398	3.41e-13
snp43	5.94e-13
snp67	5.94e-13
snp178	8.04e-13
snp37	8.04e-13
snp46	9.82e-13
snp472	9.82e-13
snp463	1.29e-12
snp20	1.29e-12
snp61	5.62e-12
snp251	6.1e-12
snp30	6.1e-12
snp44	8.09e-12
snp40	9.98e-12
snp478	9.98e-12
snp307	1.29e-11
snp22	1.29e-11
snp2	1.57e-11
snp305	1.57e-11
snp172	2.66e-11
snp225	2.66e-11
snp17	2.76e-11
snp284	6.19e-11
snp15	6.19e-11
snp45	1.36e-10
snp492	1.36e-10
snp329	1.63e-10
snp63	1.63e-10
snp8	1.77e-10
snp464	1.77e-10
snp48	2e-10
snp117	2e-10
snp6	2.61e-10
snp484	2.61e-10
snp140	2.87e-10
snp49	2.87e-10
snp244	4.42e-10
snp171	4.42e-10
snp41	5.01e-10
snp121	5.01e-10
snp18	7.87e-10
snp341	7.87e-10
snp1	1.05e-09
snp446	1.05e-09
snp255	1.17e-09
snp236	1.4e-09
snp21	1.4e-09
snp13	1.45e-09
snp252	1.45e-09
snp57	1.57e-09
snp87	1.57e-09
snp60	1.84e-09
snp400	1.84e-09
snp4	2.12e-09
snp109	2.12e-09
snp24	3.2e-09
snp469	3.2e-09
snp27	4.19e-09
snp404	4.19e-09
snp31	4.47e-09
snp144	6.03e-09
snp315	6.03e-09
snp134	6.58e-09
snp70	6.58e-09
snp58	7.16e-09
snp441	7.33e-09
snp454	7.33e-09
snp36	8.87e-09
snp345	8.87e-09
snp23	1.01e-08
snp384	1.01e-08
snp12	1.15e-08
snp266	1.15e-08
snp125	1.16e-08
snp62	1.62e-08
snp301	1.69e-08
snp25	1.69e-08
snp11	3.96e-08
snp332	3.96e-08
snp287	3.91e-07
snp216	5.15e-06
snp419	5.15e-06
snp237	8.19e-06
snp220	1.5e-05
snp432	1.5e-05
snp348	6.09e-05
snp426	6.09e-05
snp214	7.71e-05
snp449	7.71e-05
snp283	8.7e-05
snp209	8.7e-05
snp89	0.0001044
snp376	0.0001044
snp160	0.0001082
snp108	0.0001082
snp352	0.0001328
snp313	0.0001328
snp406	0.0001554
snp381	0.0001554
snp139	0.0001598
snp393	0.0001598
snp155	0.0002362
snp466	0.0002362
snp72	0.0005581
snp389	0.0005581
snp481	0.000965
snp132	0.000965
snp314	0.001214
snp350	0.001891
snp173	0.001891
snp243	0.002542
snp145	0.003029
snp206	0.003029
snp192	0.003237
snp254	0.003475
snp107	0.003475
snp440	0.004413
snp490	0.005128
snp334	0.005128
snp272	0.005558
snp343	0.007906
snp106	0.008365
snp379	0.008365
snp386	0.00845
snp286	0.00845
snp373	0.01037
snp428	0.0118
snp265	0.01226
snp103	0.01226
snp176	0.0126
snp159	0.0126
snp269	0.01294
snp459	0.01294
snp401	0.01313
snp131	0.01467
snp88	0.01485
snp312	0.01485
snp154	0.01546
snp199	0.01693
snp148	0.01693
snp409	0.0188
snp233	0.0188
snp461	0.01886
snp289	0.01982
snp278	0.01982
snp94	0.02001
snp111	0.02443
snp228	0.02801
snp335	0.02801
snp339	0.02966
snp457	0.02966
snp232	0.03021
snp351	0.03459
snp196	0.0395
snp372	0.03953
snp303	0.03953
snp248	0.03981
snp211	0.04175
snp92	0.04175
snp340	0.04288
snp180	0.04288
snp330	0.04379
snp166	0.04379
snp308	0.04481
snp262	0.04481
snp431	0.04629
snp366	0.04629
snp474	0.0484
snp168	0.04984
snp82	0.04984
